steps,rollout,stage,mean_return,mean_episode_length,policy_loss,value_loss,entropy,grad_norm
31744,31,1,43.537,5434.0,0.0,0.30126,0.990641,0.130954
32768,32,1,43.3075,5399.2,0.0,0.344839,0.990463,0.159013
33792,33,1,43.3075,5399.2,0.0,0.241945,0.990203,0.108317
34816,34,1,43.3075,5399.2,0.0,0.283955,0.990734,0.118627
35840,35,1,43.3075,5399.2,-0.0,0.211358,0.989484,0.082132
36864,36,1,43.3075,5399.2,0.0,0.312626,0.990143,0.144144
37888,37,1,43.3075,5399.2,0.0,0.290483,0.990907,0.14659
38912,38,1,43.4693,5418.9,-0.0,0.315388,0.990621,0.140993
39936,39,1,43.4693,5418.9,0.0,0.215658,0.990654,0.084438
40960,40,1,43.4693,5418.9,-0.0,0.389791,0.990015,0.204478
41984,41,1,43.4693,5418.9,-0.0,0.246332,0.990733,0.132089
43008,42,1,43.4693,5418.9,0.0,0.192401,0.991198,0.068834
44032,43,1,43.7306,5431.9,0.0,0.328834,0.990582,0.155997
45056,44,1,43.7306,5431.9,0.0,0.387407,0.990971,0.192257
46080,45,1,43.7306,5431.9,-0.0,0.382831,0.99065,0.15152
47104,46,1,43.7306,5431.9,0.0,0.222709,0.990857,0.062374
48128,47,1,43.4306,5303.3,-0.0,0.384933,0.989736,0.174163
49152,48,1,43.4306,5303.3,0.0,0.318976,0.991185,0.144618
50176,49,1,43.4306,5303.3,0.0,0.194267,0.990657,0.05399
51200,50,1,43.4306,5303.3,0.0,0.229229,0.99128,0.072521
52224,51,1,43.4306,5303.3,0.0,0.178084,0.991035,0.043823
53248,52,1,43.4306,5303.3,0.0,0.329142,0.990322,0.13399
54272,53,1,43.3905,5330.5,-0.0,0.282201,0.990718,0.116705
55296,54,1,43.3905,5330.5,0.0,0.2543,0.990464,0.107279
56320,55,1,43.3905,5330.5,0.0,0.323919,0.990791,0.128576
57344,56,1,43.3905,5330.5,0.0,0.291368,0.991069,0.116951
58368,57,1,43.3695,5269.5,0.0,0.522076,0.990671,0.268403
59392,58,1,43.3695,5269.5,-0.0,0.298797,0.990875,0.159969
60416,59,1,43.3695,5269.5,-0.0,0.245569,0.990203,0.085435
61440,60,1,43.3695,5269.5,-0.0,0.189346,0.990199,0.013395
62464,61,1,43.3695,5269.5,-0.0,0.304702,0.990895,0.161932
